name,artist,album,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Housing (Out),Frightened Rabbit,Pedestrian Verse,4v2ud3mMHFfwH6R0iq7M9Z,0.538,0.885,11,-5.628,0.0863,0.666,6.86e-05,0.163,0.723,89.925,64253
Pale Rider,Field Report,Marigolden,0o922f21i78y0DUztNSfqs,0.509,0.382,9,-10.471,0.0291,0.781,0.00383,0.113,0.173,147.645,301813
King of Spain,The Tallest Man On Earth,The Wild Hunt,3SXsoJxUF3C9XjZnGMZbXn,0.385,0.493,8,-8.342,0.0344,0.757,2.45e-06,0.116,0.375,131.615,206187
Ultralight Beam,Kanye West,The Life Of Pablo,6aEgrTRLSRQ0FIrvOwcOE6,0.591,0.398,8,-8.731,0.431,0.624,0.0,0.539,0.348,105.956,320680
Home (Leave the Lights On),Field Report,Marigolden,1nplIOuXXSjLSZdxYTqnZe,0.711,0.625,2,-7.605,0.0257,0.216,0.00046,0.0797,0.462,101.99,221147
A Lie,Autre Ne Veut,Anxiety,6N4fltWYFVzkgJ7s4FgMFS,0.526,0.753,0,-5.728,0.0398,0.116,0.0198,0.135,0.0644,115.005,245320
Ideal World,Girlpool,Before The World Was Big,55NwrUskrkeWZf7MWux0Iu,0.745,0.296,2,-7.844,0.0309,0.589,0.00939,0.0949,0.566,146.83,166329
Global Concepts,Robert DeLong,Just Movement,4jiuw8KsXLUNwI0NCCkNZO,0.715,0.801,4,-3.792,0.192,0.355,1.1e-05,0.363,0.678,107.958,280187
Ur Life One Night,Unknown Mortal Orchestra,Multi-Love,4kmQD8AHOQtg1Ft2NooJjp,0.743,0.776,9,-3.868,0.108,0.0532,0.897,0.0503,0.857,75.426,267907
Terror In The Canyons (The Wounded Master),Phosphorescent,Muchacho,7C9qM17pJCJi1hiFERWjm6,0.348,0.627,3,-6.674,0.0317,0.799,0.0129,0.0976,0.377,130.089,245547
Rapture,Pedro The Lion,Control [Remastered],7h0vp9sJLp1jArGsBeNnrZ,0.503,0.749,7,-7.087,0.0358,0.00505,4.39e-06,0.173,0.683,130.04,206146
On Sight,Kanye West,Yeezus,1gqkRc9WtOpnGIqxf2Hvzr,0.605,0.469,9,-3.182,0.327,0.487,0.0,0.28,0.515,101.601,156480
Am I Awake?,They Might Be Giants,Idlewild: A Compilation,5ZuFa017ebD1p6aU9zHTnT,0.627,0.717,3,-7.371,0.0612,0.0582,0.000212,0.114,0.542,159.985,183333
Prince Johnny,St. Vincent,St. Vincent,7hLWQTGBtKo4pBpJ9CaQo9,0.524,0.686,7,-8.14,0.0814,0.105,0.221,0.255,0.681,74.959,276627
Should Have Known Better,Sufjan Stevens,Carrie & Lowell,5I6y1KWmUoV5YCaIEcs1qs,0.571,0.172,7,-20.7,0.0318,0.979,0.275,0.124,0.297,90.972,307698
Zigzagging Toward the Light,Conor Oberst,Upside Down Mountain,09mSRgoEyU5IBmSlOFbRYy,0.625,0.743,4,-5.972,0.0448,0.0249,1.13e-06,0.368,0.46,90.331,243227
Through the Night,IU,Palette,3P3UA61WRQqwCXaoFOTENd,0.428,0.313,8,-7.327,0.0391,0.757,0.0,0.309,0.284,78.723,253293
Dear Name,IU,Palette,1DP0uwV6tMlCEfR61Mh7ki,0.312,0.589,2,-5.071,0.0334,0.459,0.0,0.106,0.237,133.854,289580
Departures - Anata Ni Okuru Ai No Uta,EGOIST,Extra Terrestrial Biological Entities,33w7LgNJIuhs5dhSYZ0do1,0.473,0.431,2,-8.172,0.0305,0.493,0.0,0.0752,0.283,143.862,255013
dlwlrma,IU,Palette,4NPARrLIbtMl29ZJv8ESr2,0.738,0.641,4,-3.44,0.0475,0.315,0.0,0.114,0.631,119.867,176099
잠 못 드는 밤 비는 내리고 [Jam Mot Deuneun Bam Bineun Naeligo] : Sleepless rainy night,IU,꽃갈피 둘 [Kkot-Galpi #2] : A flower bookmark,546tamGotuR5Mhbe35ONAv,0.761,0.456,10,-7.817,0.0461,0.727,0.000103,0.143,0.46,91.028,266517
Me Gustas Tu,GFRIEND,GFRIEND 2nd Mini Album 'Flower Bud',6x7fux7bZEfnChKx3nhSZn,0.646,0.923,8,-1.309,0.0613,0.166,0.0,0.0507,0.703,106.086,220745
The Everlasting Guilty Crown,EGOIST,Extra Terrestrial Biological Entities,76jRSSkd4pLwUflgwSeuB0,0.35,0.935,1,-4.368,0.0907,0.00731,1.79e-05,0.339,0.333,171.993,325320
Namae No Nai Kaibutsu,EGOIST,Namae No Nai Kaibutsu,7M2qLDA7hAwKgyrTjJfI2C,0.338,0.896,10,-5.984,0.171,0.000236,0.000705,0.311,0.237,179.832,317267
夢灯籠,RADWIMPS,君の名は。,6CsMd91gWWntqjZfXAScWe,0.213,0.864,8,-5.71,0.401,0.0301,9.68e-05,0.0465,0.13,177.921,129187
Palette (Feat. G-DRAGON),IU,Palette,3y7ByLZ05tluscOTRgEJ9Y,0.804,0.68,0,-3.81,0.2,0.458,0.0,0.102,0.62,102.013,217413
Ending Scene,IU,Palette,06EMBzxDm2hueehobAlMtm,0.388,0.323,5,-7.158,0.0348,0.851,2.03e-06,0.143,0.232,118.885,249242
Sparkle - movie ver.,RADWIMPS,Your Name.,3A4FRzgve9BjfKbvVXRIFO,0.372,0.426,11,-8.421,0.0339,0.687,0.00784,0.109,0.287,123.993,537653
君の知らない物語,物語シリーズ,Utamonogatari Special Edition (Original Soundtrack),0HAi4Xk8v9JlkkxzfzPlYN,0.422,0.914,9,-2.828,0.046,0.00963,0.0,0.0744,0.529,164.876,344053
Some,BOL4,Red Diary Page.1,3mmLyEhphJAaW7hyEXAD8l,0.659,0.799,1,-2.849,0.0629,0.417,0.0,0.0562,0.782,103.99,181373
ONE-HALF,GFRIEND,GFRIEND The 5th Mini Album <PARALLEL>,5kmT53VIrf7sC2J2ja0DpA,0.684,0.898,6,-1.242,0.0402,0.208,0.0,0.0403,0.487,122.973,214058
Tonight,1set,Tonight,5LhXvB3BI6JNdoKAxMKcfQ,0.697,0.567,4,-4.657,0.0403,0.737,0.0,0.118,0.485,94.984,226359
Friday (feat.Jang Yi-jeong of HISTORY),IU,Modern Times ? Epilogue,0GsRx0gPft6RmijIwMsKmG,0.693,0.529,9,-4.819,0.0539,0.56,0.0,0.111,0.555,80.026,217156
Face Like Thunder,The Japanese House,Swim Against the Tide,3llC7WjMtxqDwaM1Gjzvrs,0.636,0.742,0,-6.751,0.039,0.233,3.87e-05,0.185,0.285,119.951,237427
Loudspeaker,MUNA,About U,5ztCcMNmFiq5ZnID9jY9SP,0.678,0.871,9,-4.319,0.0569,0.489,2.04e-06,0.189,0.679,119.019,210053
Rough,GFRIEND,SNOWFLAKE,3CVeGXpoPKJQ9JuhPp3mpL,0.613,0.912,8,-2.464,0.0366,0.152,0.0,0.111,0.734,112.005,209105
Cool Blue,The Japanese House,Clean,0Lbe98RKWwBbu1sipPSa4n,0.607,0.566,0,-10.37,0.0482,0.895,0.083,0.139,0.607,180.048,231333
unlucky,IU,Love poem,1jsY6pQeNaEConZWGau1L4,0.528,0.482,10,-3.689,0.0444,0.836,0.0,0.136,0.505,169.907,231133
スパークル - movie ver.,RADWIMPS,君の名は。,6rOxMuxtATULp0vEaNR3RK,0.374,0.432,11,-8.395,0.0334,0.691,0.00649,0.109,0.295,124.012,534120
I Want To Save You,Something Corporate,Leaving Through The Window,1g5WP8pu6w2jEP0vAf5Lxk,0.451,0.863,3,-5.917,0.0361,0.00107,0.000157,0.123,0.344,148.074,262267
Blueming,IU,Love poem,4Dr2hJ3EnVh2Aaot6fRwDO,0.819,0.674,0,-3.145,0.0587,0.0849,0.0,0.0667,0.682,106.032,217053
lvs(var),Kensuke Ushio,"A Shape of Light ""A Silent Voice the Movie"" Original Soundtrack",2m6jds9zw9x5bgNXZrN4yg,0.592,0.173,7,-20.698,0.0373,0.941,0.972,0.0947,0.433,69.999,85520
가을 아침 [Gaeul Achim] : Autumn morning,IU,꽃갈피 둘 [Kkot-Galpi #2] : A flower bookmark,1MYvjx60rkxZm5oHEPKqgz,0.571,0.316,9,-7.22,0.142,0.785,0.0,0.376,0.547,170.901,218885
Time for the moon night,GFRIEND,GFRIEND The 6th Mini Album 'Time for the moon night',2jL9sjFc2LZsQBGbQnrjXR,0.455,0.827,6,-1.201,0.0573,0.325,0.0,0.0473,0.681,169.929,226699
"Missing You / Namine (From ""Kingdom Hearts II"" & ""Kingdom Hearts: Chain of Memories"")",daigoro789,Kingdom Hearts Piano Collections Special Edition,5Cehdon3VynRhPMnAp4qmm,0.506,0.0357,5,-26.807,0.0633,0.984,0.884,0.13,0.073,125.719,298347
Yuri on ICE,Taro Umebayashi,Yuri on ICE,4u4t9R8Iky417ZasENaKXX,0.176,0.514,8,-12.05,0.0308,0.816,0.637,0.117,0.154,80.018,220999
Maybe You're the Reason,The Japanese House,Good At Falling,5Po5YmT4RhawSeqNXx5m0o,0.621,0.762,5,-6.376,0.0328,0.106,2.71e-06,0.302,0.395,95.014,218936
CHEER UP,TWICE,PAGE TWO,1D7e4LrjdB4mKaI9XYrmPY,0.548,0.885,6,-1.48,0.125,0.139,0.0,0.0716,0.509,172.946,208862
LOVE WHISPER,GFRIEND,GFRIEND The 5th Mini Album <PARALLEL>,1xwnvVY9gHdo69PuGQkG1U,0.711,0.928,8,-1.666,0.0484,0.126,0.0,0.335,0.577,114.012,211972
So Special,MUNA,About U,50EsWUxLBSS4nQnTuagVjF,0.558,0.77,2,-5.107,0.0407,0.0889,3.22e-06,0.29,0.545,90.943,237013
Blessings (feat. Jamila Woods),Chance the Rapper,Coloring Book,2VQc9orzwE6a5qFfy54P6e,0.714,0.343,10,-7.641,0.38,0.723,5.48e-06,0.102,0.372,72.348,221940
Love poem,IU,Love poem,7HrE6HtYNBbGqp5GmHbFV0,0.404,0.467,11,-5.276,0.0413,0.74,0.0,0.106,0.273,119.994,258239
Popo (How deep is our love?),Yerin Baek,Every letter I sent you.,5XAJzwa0B2Hf8Rb1q0rowN,0.619,0.47,0,-7.095,0.0479,0.509,0.00225,0.0681,0.716,84.939,271216
비밀의 화원 [Bimilui Hwawon] : Secret Garden,IU,꽃갈피 둘 [Kkot-Galpi #2] : A flower bookmark,5F6nAnNIsRk9QbPOx9t11B,0.482,0.387,2,-7.486,0.0472,0.825,0.0,0.138,0.258,115.051,224791
lit(var),Kensuke Ushio,"A Shape of Light ""A Silent Voice the Movie"" Original Soundtrack",6bTCdqB1PN5J93hiiZvQzW,0.329,0.258,1,-16.147,0.0615,0.943,0.934,0.105,0.0338,95.328,134787
I Know A Place,MUNA,About U,0bPSRn4crnh5f1JhELPlyL,0.685,0.9,5,-4.626,0.151,0.137,0.0,0.2,0.779,111.991,272813
Implicit Demand For Proof,Twenty One Pilots,Twenty One Pilots,3UaFnnUo80mv431WHEzaj9,0.495,0.262,9,-10.572,0.0292,0.635,0.00486,0.104,0.287,159.986,291933
Heavydirtysoul,Twenty One Pilots,Blurryface,7i9763l5SSfOnqZ35VOcfy,0.613,0.873,7,-6.376,0.0449,0.00397,0.00111,0.367,0.392,129.989,234813
Date,RADWIMPS,Your Name.,7A7lxMWZI2Uow7WqWjWGcM,0.673,0.119,5,-20.274,0.0656,0.985,0.73,0.114,0.478,123.87,245907
Flesh without Blood,Grimes,Art Angels,4ZcGbQ5dOKX6rJk4yvza9R,0.481,0.965,8,-2.993,0.0875,0.000904,0.000727,0.476,0.66,155.938,264524
The Taste of Ink,The Used,The Used,5jZ1Z2GFTf2gwmFc3qiUxs,0.541,0.904,7,-3.001,0.0435,0.00143,0.0,0.193,0.541,98.122,208693
Lullaby,IU,Love poem,7BUtoP9NXEe7MgWvIG2KGE,0.473,0.297,3,-6.706,0.0339,0.889,0.0,0.133,0.292,129.083,261720
Dream lantern,RADWIMPS,Your Name.,5mEqD00bdFcsiVd0MfvEeF,0.206,0.871,8,-5.751,0.419,0.0316,6.55e-05,0.0596,0.125,175.6,131667
Happy Day,1set,"Sisters-in-law, Pt. 3 (Original Soundtrack)",6XWJnONhIytzRvc1PXB6m7,0.656,0.631,0,-4.268,0.0899,0.554,0.0,0.198,0.548,99.215,166375
Black Out,IU,Palette,1sUOFqmIU38dQCA13aVKBL,0.684,0.801,8,-4.063,0.0651,0.166,2.37e-06,0.0243,0.778,98.042,227701
Saw You In A Dream,The Japanese House,Saw You In A Dream,0U3u0HdRQjD8mAMYBak4Ok,0.607,0.451,4,-8.206,0.0286,0.0604,0.0,0.19,0.676,94.054,208280
Requiem: Salvator Mundi,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",1lJjRUSUblv6zGy8Fth6z9,0.171,0.0216,7,-30.351,0.0447,0.995,0.86,0.101,0.0354,126.031,139227
Asheville Skies,The Milk Carton Kids,Monterey,4Ie7fX5ekLa7HO7F3c9F4n,0.535,0.186,11,-14.267,0.0345,0.914,0.00059,0.183,0.216,125.917,319887
Secrets Of The Stars,The Milk Carton Kids,Monterey,4Zls4nFdhCUxQ9YQOMjf6d,0.591,0.128,11,-15.184,0.0391,0.913,0.0,0.108,0.377,95.252,164479
Tachycardia,Conor Oberst,Ruminations,5R2oQRNmANSqK8WBj9l1Q0,0.43,0.348,0,-8.19,0.0419,0.919,7e-05,0.104,0.306,144.849,219053
The Singer's Ode,Robert Kyr,Robert Kyr: The Cloud of Unknowing - Songs of the Soul,4as5TVmo11183DBMC0di1T,0.112,0.127,2,-23.444,0.0436,0.992,0.746,0.115,0.0314,74.752,179707
Monterey,The Milk Carton Kids,Monterey,2PcLKxo6d9yO8rh04REWw6,0.588,0.121,1,-16.766,0.031,0.939,0.000524,0.113,0.214,97.999,275321
Getaway,The Milk Carton Kids,Monterey,5OIE4Q3GWnyZSYFTbKEKDH,0.572,0.08,1,-19.733,0.0365,0.942,5.31e-05,0.13,0.184,128.433,261206
"Sonata No. 1 in G minor, BWV 1001: I. Adagio",Johann Sebastian Bach,"Bach: Sonatas and Partitas, Vol. 1",1de7hnpXgwiL9mI3a9JoUv,0.494,0.0255,0,-28.981,0.074,0.925,0.662,0.153,0.299,89.421,237840
Requiem,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",67GhBSNMFpFtZ98ei8vIPG,0.138,0.00802,10,-30.038,0.0385,0.994,0.673,0.0956,0.0649,82.404,251613
Requiem: Psalm 23,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",3AvXaEGmfVWK17yBvyCikc,0.218,0.0233,2,-31.423,0.0512,0.987,0.00346,0.0609,0.0394,125.21,163853
Requiem aeternam I,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",4oo6FA9IP77tBtAve4bbu0,0.0754,0.00911,4,-35.228,0.0424,0.994,0.887,0.101,0.0338,79.89,227960
Just Look at Us Now,The Milk Carton Kids,All the Things That I Did and All the Things That I Didn't Do,5iS5yYsVpwf9ise19Ppb2P,0.512,0.247,7,-13.497,0.0322,0.922,0.00132,0.103,0.277,134.057,184493
Requiem: Psalm 121,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",5II2Sla6DNuIWpEnOGgXxw,0.191,0.0383,11,-28.561,0.0463,0.99,0.0367,0.252,0.0909,64.644,160667
Shooting Shadows,The Milk Carton Kids,Monterey,32eBouGuWz6SstlPMB8rII,0.543,0.11,0,-14.899,0.0384,0.884,3.32e-05,0.107,0.33,151.456,220023
As We Ran,The National Parks,As We Ran,5ITmuvjtUUdxVQCCsaKBDx,0.431,0.588,9,-6.855,0.0348,0.0169,0.00689,0.368,0.183,143.975,200322
Requiem aeternam II,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",0OZxIQS66BdjWDu1EF5qXG,0.0777,0.0225,2,-25.84,0.0436,0.993,0.948,0.0881,0.0335,80.515,241440
Freedom,The Milk Carton Kids,Monterey,3e196h4a2Effrjti497WNS,0.507,0.0998,8,-17.94,0.0362,0.944,0.00133,0.115,0.232,80.128,253412
Poison Tree,The Milk Carton Kids,Monterey,3dYEb5cwcst4UmyhxBlTvQ,0.595,0.153,11,-13.147,0.0346,0.869,0.000127,0.111,0.19,108.141,226488
Requiem: I heard a Voice from Heaven,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",1wiiK03bSyRjmkyMA4neuc,0.204,0.0494,2,-29.21,0.0415,0.991,0.187,0.0936,0.0345,84.157,241187
The Road Home,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",3vA1AS2PWl4RePRCiR36lb,0.167,0.0539,5,-28.217,0.0445,0.993,0.032,0.116,0.047,98.872,236907
The City Of Our Lady,The Milk Carton Kids,Monterey,6DTVb1ZjPPBlI9TgY2e9FF,0.632,0.446,11,-11.453,0.0327,0.825,0.00217,0.212,0.634,119.934,131821
High Hopes,The Milk Carton Kids,Monterey,6BPSYXmzEkhgvuD8C08NLv,0.482,0.304,1,-12.807,0.0339,0.763,7.45e-05,0.157,0.384,119.139,155245
Three Songs of Faith: i thank you God for this most amazing day,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",76t15UAnEbjiFUBbkJHu4H,0.179,0.0721,0,-26.008,0.0456,0.993,0.649,0.0982,0.0353,129.869,420147
Permanent,Kenneth Pattengale & Joey Ryan,Retrospect,7BgiepZSWIMyv40QKffMec,0.6,0.399,10,-9.239,0.0537,0.805,0.000798,0.153,0.417,113.293,309267
I Am All That I Need / Arroyo Seco / Thumbprint Scar,Fleet Foxes,Crack-Up,0AU66TowF4rbAJ1c6GRq61,0.362,0.548,5,-8.342,0.0407,0.305,0.243,0.683,0.147,151.635,384747
"Something, Somewhere, Sometime",Ben Sollee,Dear Companion,3RYu8IyLsSoXOPv37Qs4Di,0.561,0.442,0,-10.355,0.0398,0.381,0.0,0.0636,0.421,139.202,154587
"Three Songs of Faith: hope, faith, life, love",Conspirare,"Requiem - Howells, Whitacre, Pizzetti",0b0tNJYQ84d2Rplc4f7U6V,0.067,0.0521,10,-23.278,0.0483,0.993,0.888,0.072,0.0293,66.712,246040
My Silver Lining,First Aid Kit,Stay Gold,5BkNCuxzzid0gz9sx3NNbX,0.477,0.725,2,-4.671,0.0337,0.026,0.000133,0.214,0.427,101.854,215493
Deadly Bells,The Milk Carton Kids,Monterey,5NAyLTDHuE2x158QAf9X5s,0.564,0.14,6,-13.416,0.0394,0.833,2.16e-06,0.123,0.267,106.728,134892
See You Around,I'm With Her,See You Around,12CyFLr9VQA25a5PvKp3bX,0.494,0.0657,10,-16.782,0.0372,0.948,8.36e-06,0.168,0.181,119.345,228627
Gossamer Thin,Conor Oberst,Ruminations,2KAiDNISSBb5CKzR6er7JZ,0.375,0.365,11,-8.297,0.0335,0.908,0.00444,0.134,0.342,87.754,215133
Helsinki,The National Parks,Young,139OFhHYDAvIGbl1pxZEm3,0.381,0.311,4,-11.856,0.0293,0.568,0.000213,0.0863,0.0525,106.031,237213
"Sing, Sparrow, Sing",The Milk Carton Kids,Monterey,4TYtkJ2ESB01ltAB2nQUcA,0.515,0.0486,9,-22.59,0.0828,0.922,1.07e-06,0.242,0.109,100.448,106815
Lean in Toward the Light,Carrie Newcomer,The Beautiful Not Yet,7qZ8VyJFu7rLj53jBDiuDO,0.566,0.622,0,-9.156,0.0295,0.368,4.11e-05,0.109,0.555,144.389,233221
We remember them,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",7hVV4nmfUlVBriHgbYoKN5,0.15,0.0146,0,-30.945,0.0455,0.991,0.0561,0.0764,0.0327,137.391,277187
Michigan,The Milk Carton Kids,Prologue,0WkJWnMCumm1fnFscdY7Rw,0.554,0.235,10,-14.609,0.0342,0.89,0.00328,0.114,0.232,121.836,330772
Messa di Requiem: Dies Irae,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",2kQfS2mMyDvRdOe6a9DFBs,0.105,0.0293,2,-26.478,0.0436,0.993,0.46,0.0992,0.0395,86.714,680013
Messa di Requiem: Libera Me,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",14qhkKiqdbB1N8Hl6FvISg,0.173,0.029,9,-27.626,0.0476,0.992,0.623,0.113,0.0356,68.824,337293
Beautiful - Live,Mosaic MSC,MSC (Live in LA),7xnvZnExsWm6Lg08GNiXzw,0.474,0.909,9,-4.51,0.047,0.0121,0.0,0.911,0.423,87.983,324989
Messa di Requiem: Requiem,Conspirare,"Requiem - Howells, Whitacre, Pizzetti",0UBUqDw285jP7P3F8zkCs7,0.079,0.0211,2,-29.797,0.049,0.993,0.844,0.0805,0.0348,80.865,396853
God be in my Head,"Choir of Jesus College, Cambridge",The Evening Hour: British Choral Music from the 16th and 20th Centuries,7teGnf25zJ5xXB6XkaMvQu,0.138,0.109,2,-23.621,0.0396,0.991,0.0456,0.139,0.0562,144.483,89853
Barbary Coast (Later),Conor Oberst,Ruminations,6bgjcVqaUmnalHy0C8txLv,0.563,0.34,2,-8.084,0.0377,0.589,0.0,0.103,0.185,80.544,252373
"The Cloud Of Unknowing, Part I ""Songs Of Night"": The Cloud Of Unknowing, Part I ""Songs Of Night"": I. Unknowing",Robert Kyr,Robert Kyr: The Cloud of Unknowing - Songs of the Soul,0D3QyiIbRkb6NGwUBkLHFx,0.206,0.0624,0,-29.125,0.0428,0.902,0.883,0.13,0.0835,107.024,147080
"The Cloud Of Unknowing, Part II ""Songs Of Dawn"": The Cloud Of Unknowing, Part II ""Songs Of Dawn"": I. Waiting",Robert Kyr,Robert Kyr: The Cloud of Unknowing - Songs of the Soul,22gJhBCs4FnFW8pgdVIVHV,0.311,0.117,2,-21.352,0.0611,0.963,0.000266,0.126,0.179,82.617,88707
